workerid,OS,screenH,screenW,Browser
0,Windows,768,1360,Chrome
1,Windows,1080,1920,Chrome
2,Mac,800,1280,Chrome
3,Windows,1080,1920,Firefox
4,Windows,900,1440,Firefox
5,Mac,800,1280,Chrome
6,Windows,1080,1920,Chrome
7,Mac,800,1280,Chrome
8,Windows,900,1440,Chrome
9,Windows,768,1366,Chrome
10,Windows,768,1366,Firefox
11,Windows,1050,1680,Chrome
12,Windows,1080,1920,Chrome
13,Mac,900,1440,Chrome
14,Mac,900,1440,Firefox
15,Linux,768,1366,Chrome
16,Windows,768,1366,Chrome
17,Windows,1080,1920,Chrome
18,Windows,1080,1920,Chrome
19,Windows,900,1600,Chrome
20,Mac,900,1440,Safari
21,Windows,1080,1920,Chrome
22,Windows,768,1366,Chrome
23,Windows,734,917,Firefox
24,Windows,900,1600,Chrome
25,Windows,648,1152,Firefox
26,Windows,1080,1920,Chrome
27,Windows,1024,1280,Chrome
28,Mac,800,1280,Chrome
29,Windows,768,1366,Chrome
30,Windows,1080,1920,Chrome
31,Windows,768,1366,Firefox
32,Windows,576,1024,Firefox
33,Windows,589,1047,Firefox
34,Windows,1050,1680,Chrome
35,Windows,1080,1920,Chrome
36,Windows,768,1366,Chrome
37,Windows,720,1280,Firefox
38,Windows,1080,1920,Chrome
39,Windows,1080,1920,Chrome
40,Windows,768,1366,Chrome
41,an unknown OS,1024,768,Safari
42,Windows,900,1600,Chrome
43,Windows,1080,1920,Chrome
44,Windows,768,1366,Chrome
45,Windows,900,1600,Chrome
46,Windows,1080,1920,Chrome
47,Windows,800,1280,Chrome
48,Windows,900,1600,Chrome
49,Windows,1080,1920,Chrome
50,Windows,1080,1920,Chrome
51,Windows,900,1440,Chrome
52,Windows,1080,1920,Chrome
53,Windows,768,1366,Chrome
54,Windows,768,1366,Chrome
55,Windows,1080,1920,Chrome
56,Windows,1024,1280,Chrome
57,Windows,858,1525,Firefox
58,Windows,800,1280,Chrome
59,Windows,1080,1920,Chrome
